,Hunger,Potter,Twilight,Mockingbird,Gatsby
321,False,True,True,False,True
322,False,False,False,True,True
323,False,False,False,True,True
324,False,True,False,True,True
325,False,True,False,True,False
326,True,True,False,True,True
327,False,True,False,True,True
328,False,True,True,False,False
329,False,True,False,True,True
330,False,True,False,True,False
331,False,False,True,False,True
332,False,True,False,False,False
333,False,True,False,False,False
334,False,False,False,True,False
335,False,True,False,True,False
336,True,False,True,False,True
337,True,True,False,True,False
338,False,True,False,False,True
339,False,True,True,True,True
340,False,True,False,True,False
341,False,False,False,False,True
342,False,False,False,True,True
343,False,True,False,False,False
344,False,True,False,False,False
345,False,True,False,True,True
346,False,False,False,True,True
347,False,False,False,True,True
348,False,True,True,True,True
349,False,True,False,False,False
350,False,True,False,True,True
351,False,True,False,False,False
352,False,False,False,True,False
353,False,False,False,True,True
354,False,False,False,False,True
355,False,False,True,False,False
356,False,True,True,True,False
357,False,False,False,True,True
358,False,False,False,True,True
359,False,False,False,False,True
360,False,False,False,True,False
361,True,True,True,False,False
362,False,False,False,True,True
363,True,False,True,True,True
364,False,False,True,True,True
365,False,False,False,False,True
366,False,False,False,False,True
367,False,True,False,True,True
368,False,False,False,True,True
369,False,True,False,True,True
370,True,True,False,True,True
371,False,True,False,False,False
372,False,False,False,False,True
373,True,True,False,True,True
374,False,False,False,False,True
375,False,True,True,True,True
376,False,False,True,False,True
377,False,True,False,True,True
378,False,False,False,True,False
379,False,True,False,False,False
380,True,True,False,True,False
381,False,False,False,True,False
382,False,True,False,True,False
383,False,True,False,False,False
384,False,False,False,True,False
385,False,True,True,True,True
386,False,True,False,True,False
387,False,True,True,True,True
388,False,True,False,True,True
389,False,False,False,False,True
390,False,False,False,True,False
391,False,False,False,False,True
392,False,True,False,False,False
393,True,True,True,True,True
394,False,True,False,True,False
395,False,False,False,True,True
396,False,False,False,True,False
397,False,True,False,True,True
398,False,True,False,False,False
399,False,False,False,True,True
400,False,True,False,False,False
401,False,False,False,False,True
402,False,True,False,False,True
403,False,True,False,False,False
404,False,True,False,True,True
405,False,True,True,False,False
406,False,False,False,True,True
407,False,False,False,True,True
408,False,True,False,True,False
409,False,True,False,True,True
410,False,False,False,False,True
411,False,True,False,False,False
412,False,False,False,True,True
413,False,True,False,False,False
414,False,True,False,False,True
415,False,True,False,True,False
416,False,True,False,True,True
417,False,False,False,True,True
418,False,False,True,True,False
419,False,True,False,False,True
420,False,True,False,True,True
421,False,False,False,True,True
422,False,False,False,True,False
423,False,True,False,False,False
424,False,True,False,False,False
425,False,False,False,True,True
426,False,False,True,True,False
427,False,False,False,True,True
428,False,True,False,False,True
429,False,True,False,True,False
430,False,True,True,True,False
431,False,True,False,True,False
432,False,True,True,False,False
433,False,True,False,False,False
434,False,True,False,False,False
435,True,False,True,True,True
436,False,False,False,True,True
437,False,False,False,False,True
438,False,True,False,True,True
439,False,True,False,True,False
440,False,True,False,False,False
441,False,False,False,True,True
442,False,False,False,False,True
443,False,True,False,False,True
444,False,False,False,False,True
445,False,True,False,False,False
446,False,True,False,False,False
447,False,False,False,False,True
448,False,True,False,True,False
449,False,False,False,True,True
450,False,True,False,False,False
451,False,True,False,True,True
452,False,True,False,True,False
453,False,True,False,False,False
454,False,False,False,True,False
455,False,False,False,True,False
456,False,True,False,False,False
457,False,True,False,False,True
458,True,True,True,False,False
459,False,False,False,False,True
460,True,True,False,True,True
461,False,False,False,True,True
462,False,False,False,True,False
463,False,True,False,True,False
464,False,False,False,True,True
465,False,False,False,False,True
466,False,True,False,False,False
467,True,True,True,False,False
468,False,True,False,True,False
469,False,True,False,False,False
470,False,True,False,True,True
471,False,True,False,True,True
472,False,False,False,True,True
473,False,True,False,True,True
474,True,True,False,True,True
475,False,True,False,True,True
476,False,True,False,True,False
477,False,False,False,True,True
478,True,True,True,False,False
479,False,False,False,True,False
480,False,True,False,True,False
481,False,True,True,False,False
482,False,True,False,False,False
483,False,False,False,True,True
484,False,False,False,True,True
485,False,True,True,True,False
486,False,True,False,False,False
487,False,True,False,False,False
488,False,False,False,True,True
489,False,False,False,True,False
490,False,True,False,True,False
491,False,False,False,False,True
492,False,False,False,True,True
493,False,False,False,True,False
494,False,False,True,True,False
495,True,False,False,False,True
496,False,False,False,False,True
497,False,False,False,False,True
498,False,False,False,False,True
499,False,True,False,False,False
500,False,True,False,False,False
501,False,True,False,True,True
502,False,True,False,True,True
503,False,False,False,True,True
504,False,False,False,True,False
505,False,False,False,True,True
506,False,False,False,False,True
507,True,True,False,False,True
508,False,True,False,True,False
509,False,True,False,True,False
510,False,False,False,True,False
511,False,False,False,True,False
512,False,False,False,True,True
513,False,True,False,True,False
514,False,False,True,False,True
515,False,True,False,False,False
516,False,False,False,True,True
517,False,True,False,False,False
518,False,False,False,False,True
519,False,False,False,True,True
520,True,True,False,True,True
521,False,True,False,True,False
522,False,True,True,False,False
523,False,False,False,True,True
524,False,False,False,True,False
525,False,True,False,True,False
526,False,False,True,True,True
527,False,True,False,True,False
528,False,True,False,False,False
529,False,False,False,True,False
530,False,True,False,False,False
531,False,True,False,True,False
532,False,True,False,True,True
533,False,True,True,True,False
534,False,False,False,True,False
535,False,False,False,True,True
536,False,False,False,True,True
537,False,False,False,False,True
538,False,True,False,False,False
539,False,False,False,True,False
540,False,False,False,True,False
541,False,False,False,True,False
542,False,True,False,True,False
543,False,False,False,True,True
544,True,True,False,False,False
545,False,False,False,True,True
546,False,False,True,True,True
547,False,False,False,True,False
548,False,False,False,True,False
549,False,False,False,True,True
550,False,True,False,True,False
551,False,False,True,False,False
552,False,False,False,True,True
553,False,True,False,False,False
554,False,False,False,True,False
555,False,False,False,False,True
556,False,True,False,False,True
557,False,False,False,True,False
558,False,True,False,True,True
559,False,True,False,True,False
560,False,False,True,True,False
561,False,True,False,False,True
562,False,False,False,True,False
563,False,True,False,True,True
564,False,False,False,True,False
565,False,True,False,False,True
566,False,False,False,True,True
567,False,True,False,False,False
568,False,False,False,False,True
569,False,True,False,False,False
570,False,True,False,True,True
571,False,True,False,True,True
572,False,True,False,False,True
573,False,False,True,True,True
574,False,False,False,True,True
575,True,False,True,True,True
576,True,True,False,True,True
577,False,False,False,True,True
578,False,False,False,True,False
579,False,False,False,False,True
580,False,True,False,False,False
581,False,True,True,False,False
582,False,False,False,True,False
583,False,False,False,True,True
584,False,True,False,False,False
585,False,False,True,True,True
586,False,False,False,True,False
587,False,False,False,False,True
588,False,False,False,False,True
589,False,True,False,False,False
590,False,True,False,True,False
591,True,False,False,False,True
592,False,False,False,False,True
593,True,False,True,False,False
594,False,False,False,True,True
595,True,True,True,True,True
596,False,True,False,True,False
597,False,False,False,True,False
598,False,False,False,True,True
599,False,True,False,True,False
600,False,False,False,True,False
601,False,True,False,False,False
602,False,True,False,False,False
603,False,False,False,True,False
604,False,True,False,True,True
605,False,True,False,False,False
606,False,True,False,False,True
607,False,True,True,False,False
608,False,True,False,True,False
609,False,False,False,True,False
610,False,False,False,True,True
611,False,True,False,True,True
612,False,True,True,False,False
613,False,False,False,True,False
614,False,True,True,False,False
615,False,False,False,False,True
616,False,False,False,True,False
617,False,True,False,True,True
618,False,True,False,False,True
619,False,True,False,True,False
620,False,False,False,False,True
621,False,False,False,True,False
622,True,True,True,True,False
623,False,True,False,False,True
624,False,True,False,False,True
625,False,True,False,True,False
626,False,True,False,True,True
627,False,False,False,True,True
628,False,True,False,True,False
629,False,True,False,False,True
630,False,False,True,True,True
631,False,True,False,True,False
632,True,True,False,True,False
633,False,True,False,False,True
634,False,False,False,True,True
635,False,True,False,True,False
636,False,True,False,True,False
637,False,False,False,True,False
638,False,False,False,True,True
639,False,True,False,True,False
640,False,False,False,True,True
641,False,True,True,True,False
642,False,True,False,True,False
643,False,True,False,False,True
644,False,True,True,True,True
645,False,True,False,True,False
646,False,True,False,True,True
647,False,True,False,False,False
648,False,False,False,True,True
649,False,False,False,True,False
650,False,True,False,True,True
651,False,False,False,True,False
652,False,False,False,True,True
653,False,True,False,False,False
654,True,True,False,True,True
655,False,False,False,True,True
656,False,True,False,True,False
657,False,True,False,True,True
658,False,True,True,True,True
659,False,False,False,False,True
660,False,True,False,True,True
661,False,False,False,True,False
662,False,False,False,True,True
663,True,True,True,False,True
664,True,False,False,True,False
665,False,True,False,True,False
666,False,False,False,True,True
667,False,True,False,False,False
668,False,True,False,False,False
669,False,True,True,True,True
670,True,False,False,True,False
671,True,False,False,True,False
672,True,True,False,False,False
673,False,False,True,True,True
674,False,False,False,True,True
675,False,False,True,False,True
676,False,True,True,False,False
677,True,True,True,True,True
678,False,False,False,True,False
679,False,True,False,False,False
680,False,True,False,True,False
681,False,False,False,False,True
682,False,False,False,False,True
683,True,True,False,True,True
684,False,False,False,True,True
685,False,True,False,True,True
686,False,False,False,True,True
687,False,False,False,True,True
688,False,True,False,True,True
689,True,True,False,True,False
690,False,False,False,True,True
691,False,True,False,True,False
692,False,False,True,True,False
693,False,False,False,True,False
694,True,False,True,True,True
695,False,True,False,True,False
696,False,True,False,True,True
697,True,True,True,False,False
698,False,True,True,True,False
699,False,True,False,True,True
700,True,True,True,True,False
701,False,True,True,False,True
702,False,True,False,True,False
703,False,True,True,True,False
704,True,True,False,True,False
705,False,False,False,True,True
706,False,True,False,True,False
707,False,False,False,False,True
708,True,True,True,True,True
709,False,True,False,True,False
710,False,False,False,True,False
711,False,True,False,True,False
712,False,False,False,True,False
713,False,False,True,False,False
714,False,True,False,True,False
715,False,False,False,False,True
716,False,True,True,True,True
717,False,False,False,True,True
718,True,False,True,False,True
719,False,True,False,True,True
720,True,True,True,False,False
721,False,True,False,True,False
722,False,False,False,True,False
723,False,True,False,True,True
724,True,True,True,False,False
725,False,False,False,False,True
726,False,False,False,False,True
727,False,True,False,False,False
728,False,False,True,True,True
729,True,False,True,True,False
730,False,True,False,True,False
731,False,True,False,False,False
732,False,False,False,True,False
733,True,False,False,True,True
734,False,True,True,True,False
735,False,True,False,True,True
736,False,True,False,False,False
737,True,True,True,False,True
738,False,False,False,True,True
739,False,True,False,True,True
740,True,False,True,True,False
741,True,False,True,False,False
742,False,True,False,True,False
743,False,True,False,True,False
744,True,True,True,True,False
745,False,True,False,True,False
746,False,True,False,False,False
747,False,False,False,True,True
748,False,True,False,False,True
749,False,False,False,True,True
750,True,True,True,True,False
751,True,False,True,True,True
752,False,True,False,False,False
753,False,False,False,True,False
754,False,False,False,True,True
755,False,True,False,True,True
756,False,False,False,True,False
757,False,True,True,False,False
758,False,False,False,True,True
759,False,False,False,True,True
760,False,False,False,True,False
761,False,True,False,False,False
762,False,True,False,False,True
763,False,False,True,True,False
764,False,True,False,True,False
765,True,True,False,True,True
766,True,True,False,True,False
767,False,False,False,False,True
768,False,True,True,False,False
769,True,True,True,True,False
770,False,True,False,True,False
771,False,True,False,True,False
772,False,False,False,False,True
773,False,True,True,True,True
774,False,True,False,True,False
775,False,False,True,True,True
776,True,True,True,True,False
777,False,False,True,False,False
778,False,True,False,False,False
779,False,True,True,False,False
780,False,True,False,False,False
781,False,False,False,True,False
782,False,True,False,True,False
783,False,False,False,True,False
784,False,False,False,False,True
785,False,True,False,False,False
786,False,True,False,False,False
787,False,False,False,False,True
788,False,False,False,False,True
789,True,False,False,True,False
790,False,True,False,False,True
791,False,False,False,True,False
792,False,False,False,True,True
793,False,False,False,True,True
794,False,False,True,False,False
795,False,False,False,True,False
796,True,False,False,True,True
797,False,True,False,False,False
798,False,False,False,True,True
799,True,False,False,True,False
800,True,False,True,True,True
801,False,False,False,True,False
802,False,True,False,True,True
803,False,False,True,True,False
804,False,True,False,True,False
805,False,False,False,True,False
806,False,True,False,True,False
807,False,False,False,True,False
808,False,False,False,True,True
809,False,False,False,False,True
810,False,True,True,False,False
811,False,True,False,True,False
812,False,False,True,False,False
813,True,False,False,True,False
814,False,True,False,True,True
815,True,True,False,True,True
816,False,True,True,True,False
817,False,False,False,True,True
818,False,True,True,False,True
819,False,True,False,False,False
820,False,True,False,True,True
821,False,False,False,True,True
822,False,False,False,True,False
823,False,False,False,True,False
824,False,False,False,False,True
825,False,False,False,False,True
826,False,False,False,True,False
827,False,False,False,True,False
828,False,True,True,True,False
829,False,False,False,False,True
830,False,False,False,True,True
831,True,False,True,True,False
832,False,False,False,False,True
833,False,False,False,False,True
834,False,True,False,True,True
835,False,True,False,True,True
836,False,False,False,True,False
837,False,False,False,True,True
838,False,True,False,False,False
839,False,True,False,False,True
840,False,False,True,False,False
841,False,True,True,True,True
842,False,True,False,True,True
843,False,True,False,False,True
844,True,False,False,False,True
845,False,False,False,False,True
846,False,True,True,False,True
847,False,False,False,False,True
848,False,False,False,True,False
849,False,True,False,True,False
850,False,False,False,False,True
851,False,False,False,False,True
852,False,True,False,False,False
853,False,False,False,True,True
854,False,False,False,True,True
855,True,False,False,False,True
856,False,True,False,False,True
857,False,False,True,False,True
858,True,True,False,True,False
859,False,True,False,False,False
860,True,True,False,False,False
861,False,True,True,True,False
862,False,True,False,True,True
863,False,False,False,True,True
864,False,False,False,False,True
865,True,True,False,True,False
866,False,True,True,False,True
867,False,False,False,True,False
868,True,True,True,True,True
869,False,True,True,True,True
870,False,True,False,False,True
871,False,True,False,True,False
872,False,False,False,True,False
873,False,False,False,True,False
874,False,True,True,True,True
875,False,False,False,False,True
876,False,False,True,True,False
877,False,False,False,True,False
878,False,False,False,True,True
879,True,False,False,True,False
880,False,False,False,True,False
881,True,False,False,True,False
882,False,False,False,True,True
883,True,False,False,True,False
884,True,True,False,False,False
885,True,True,False,True,True
886,False,True,False,False,False
887,True,False,True,True,False
888,False,True,False,True,False
889,False,False,True,True,True
890,False,True,True,True,False
891,False,True,True,False,False
892,False,True,True,True,False
893,False,False,False,False,True
894,False,False,False,True,True
895,False,True,False,False,False
896,False,True,True,True,True
897,False,False,True,True,False
898,False,True,True,True,False
899,True,True,False,False,True
900,False,True,True,True,False
901,False,False,True,True,False
902,False,True,True,True,False
903,True,True,True,True,False
904,True,True,True,False,False
905,False,True,False,False,True
906,False,True,False,True,False
907,False,False,False,True,True
908,False,True,False,False,False
909,False,True,False,True,True
910,False,False,True,True,False
911,True,True,False,True,True
912,False,True,False,False,True
913,False,True,False,False,False
914,False,True,False,True,False
915,False,False,False,True,False
916,False,False,False,True,True
917,True,True,False,True,False
918,False,False,False,True,True
919,False,False,False,True,True
920,False,False,False,True,True
921,False,True,False,False,False
922,False,True,False,True,False
923,False,True,True,False,True
924,False,False,False,False,True
925,False,False,True,False,True
926,True,False,True,False,False
927,True,True,True,True,False
928,False,False,True,True,False
929,False,False,False,False,True
930,False,True,False,True,True
931,False,True,False,False,False
932,False,False,False,True,True
933,False,True,False,False,True
934,False,True,False,True,True
935,False,True,False,True,False
936,False,True,True,True,True
937,False,False,True,True,True
938,False,True,False,True,True
939,False,False,False,False,True
940,False,True,False,True,True
941,True,True,False,True,False
942,False,True,True,True,False
943,False,True,False,True,True
944,False,True,False,True,True
945,False,True,False,True,False
946,False,True,True,True,False
947,False,True,False,False,False
948,False,True,False,True,False
949,False,False,False,True,True
950,False,True,False,True,False
951,False,False,False,True,True
952,False,True,False,False,False
953,False,False,False,True,True
954,True,False,True,False,True
955,True,True,True,False,False
956,True,False,True,False,False
957,False,True,True,True,False
958,False,False,False,True,True
959,False,True,True,True,False
960,False,True,True,True,True
961,False,False,True,False,False
962,False,False,False,False,True
963,False,False,True,False,False
964,True,True,True,True,False
965,False,False,False,True,False
966,False,True,True,True,False
967,False,False,False,True,True
968,True,True,False,False,False
969,True,True,False,True,False
970,False,True,True,False,False
971,True,True,False,True,False
972,False,True,True,True,True
973,False,True,False,True,False
974,True,True,True,True,False
975,False,True,False,True,True
976,False,False,False,True,True
977,False,True,True,True,False
978,False,True,False,True,True
979,False,True,False,False,False
980,False,True,False,False,True
981,False,False,True,True,True
982,False,False,False,True,False
983,False,False,False,True,False
984,False,False,False,True,False
985,False,False,False,True,False
986,True,True,False,False,False
987,True,False,True,False,False
988,False,False,False,True,False
989,False,False,True,False,False
990,False,True,False,False,False
991,True,False,True,False,False
992,False,True,True,False,False
993,True,True,False,False,False
994,False,False,False,True,False
995,True,False,False,True,True
996,False,False,False,False,True
997,True,False,False,False,True
998,True,True,True,False,False
999,False,False,True,False,False
1000,True,True,True,True,False
1001,False,False,False,True,True
1002,False,False,True,False,True
1003,False,False,False,True,True
1004,False,False,False,True,False
1005,False,False,False,True,False
1006,False,False,False,True,True
1007,False,False,False,True,True
1008,False,True,True,False,False
1009,False,True,False,True,False
1010,False,True,False,True,True
1011,True,True,True,False,False
1012,False,True,False,True,True
1013,False,True,False,True,True
1014,False,False,True,True,False
1015,False,True,False,False,True
1016,True,False,True,False,True
1017,True,True,False,False,False
1018,False,True,True,False,False
1019,False,True,True,False,False
1020,False,True,True,False,False
1021,False,True,True,True,False
1022,True,False,False,True,True
1023,False,True,False,True,False
1024,False,False,True,False,False
1025,True,False,True,False,False
1026,True,True,False,True,False
1027,False,False,False,True,True
1028,True,True,False,False,False
1029,False,True,False,True,False
1030,True,True,True,False,False
1031,False,False,False,False,True
1032,False,False,False,True,False
1033,False,False,False,True,False
1034,False,True,False,False,False
1035,True,False,False,True,False
1036,False,False,False,True,False
1037,False,True,False,False,True
1038,False,True,True,True,False
1039,False,False,False,True,True
1040,False,False,False,True,True
1041,True,False,False,True,False
1042,False,False,False,True,False
1043,False,False,True,False,True
1044,False,False,False,True,False
1045,False,True,False,False,False
1046,False,False,False,True,True
1047,False,True,False,False,False
1048,False,True,False,True,False
1049,False,True,False,False,False
1050,False,False,False,True,True
1051,False,True,True,False,False
1052,False,True,True,True,False
1053,False,True,False,True,True
1054,False,True,False,True,True
1055,False,True,False,False,False
1056,False,True,False,True,False
1057,False,False,False,True,True
1058,False,False,False,True,True
1059,True,False,True,False,False
1060,False,False,False,True,False
1061,False,True,False,True,False
1062,False,True,False,True,False
1063,False,True,False,False,False
1064,True,True,False,False,False
1065,False,True,False,True,False
1066,False,True,False,False,False
1067,True,True,False,False,False
1068,False,False,False,True,True
1069,True,True,True,False,False
1070,True,False,False,True,True
1071,True,True,False,False,False
1072,False,True,False,True,True
1073,False,True,False,True,False
1074,False,True,False,False,False
1075,False,False,False,True,True
1076,False,True,False,True,False
1077,False,False,True,False,True
1078,False,False,False,True,False
1079,False,False,False,True,False
1080,False,True,True,True,False
1081,False,False,False,False,True
1082,False,False,False,False,True
1083,False,True,False,False,True
1084,False,True,False,False,False
1085,False,True,False,True,True
1086,True,True,False,False,False
1087,True,True,False,True,True
1088,True,True,False,False,False
1089,False,True,True,True,False
1090,False,True,False,False,False
1091,True,True,False,False,False
1092,False,True,True,True,False
1093,False,False,False,False,True
1094,False,False,False,True,True
1095,False,True,False,True,False
1096,False,True,False,False,False
1097,False,True,False,False,False
1098,False,False,False,False,True
1099,False,False,False,True,True
1100,True,False,True,False,False
1101,False,True,False,True,True
1102,False,False,False,True,False
1103,False,False,False,True,True
1104,True,False,False,True,True
1105,False,False,True,True,True
1106,False,True,False,True,False
1107,False,True,False,True,False
1108,False,True,True,False,False
1109,False,True,False,True,False
1110,False,False,False,True,True
1111,False,True,False,True,False
1112,False,False,True,True,False
1113,False,True,False,False,True
1114,False,False,False,True,True
1115,True,True,True,False,False
1116,False,False,False,True,True
1117,True,True,True,True,False
1118,True,False,False,True,False
1119,False,True,False,False,False
1120,False,False,True,True,False
1121,False,True,False,False,True
1122,False,True,False,True,True
1123,True,False,False,False,True
1124,False,True,False,True,False
1125,False,True,False,False,True
1126,False,False,False,True,False
1127,False,True,False,False,False
1128,False,False,False,True,False
1129,True,False,True,True,False
1130,False,True,False,False,False
1131,True,False,True,True,False
1132,False,True,True,False,True
1133,True,True,False,True,True
1134,True,True,True,True,False
1135,True,True,True,True,False
1136,False,True,False,False,False
1137,False,True,False,False,False
1138,False,False,True,False,False
1139,False,True,True,True,True
1140,False,False,False,True,True
1141,False,False,False,True,True
1142,False,False,True,True,False
1143,False,True,False,True,False
1144,False,True,False,False,True
1145,False,True,False,True,False
1146,False,True,False,False,False
1147,False,True,True,False,False
1148,False,True,True,False,False
