SurveyDate,FormalEducation,ConvertedSalary,Hobby,Country,StackOverflowJobsRecommend,VersionControl,Age,Years Experience,Gender,RawSalary,Paid_Job,equal_binned,boundary_binned
9/3/18 19:11,Bachelor's degree (BA. BS. B.Eng.. etc.),900000.0,No,Spain,1.0,Team Foundation Version Control,39,10,Not Given,900000.0,1,"(800000.0, 1200000.0]",Very high
5/13/18 15:33,Bachelor's degree (BA. BS. B.Eng.. etc.),0.0,Yes,South Africa,7.0,Git,19,4,Male,,0,"(-2000.0, 400000.0]",Very low
7/5/18 11:39,Some college/university study without earning a degree,30000.0,No,USA,5.0,Git,28,7,Male,30000.0,1,"(-2000.0, 400000.0]",Low
8/30/18 10:01,Master's degree (MA. MS. M.Eng.. MBA. etc.),0.0,Yes,USA,7.0,Git,50,14,Male,,0,"(-2000.0, 400000.0]",Very low
7/22/18 23:09,Bachelor's degree (BA. BS. B.Eng.. etc.),44000.0,Yes,Russia,10.0,Git;Zip file back-ups,18,8,Female;Male;Transgender;Non-binary. genderqueer. or gender non-conforming,44000.0,1,"(-2000.0, 400000.0]",Low
4/17/18 10:30,Bachelor's degree (BA. BS. B.Eng.. etc.),60000.0,No,USA,7.0,Git,18,12,Female;Male,60000.0,1,"(-2000.0, 400000.0]",Medium
6/26/18 9:09,Master's degree (MA. MS. M.Eng.. MBA. etc.),0.0,Yes,USA,7.0,Git,30,14,Male,,0,"(-2000.0, 400000.0]",Very low
4/21/18 4:38,Bachelor's degree (BA. BS. B.Eng.. etc.),80000.0,Yes,Russia,7.0,Git;Mercurial;Subversion,67,12,Male,80000.0,1,"(-2000.0, 400000.0]",Medium
2/13/18 9:04,Master's degree (MA. MS. M.Eng.. MBA. etc.),0.0,Yes,South Africa,7.0,Git,39,15,Male,,0,"(-2000.0, 400000.0]",Very low
2/15/18 13:24,Bachelor's degree (BA. BS. B.Eng.. etc.),0.0,Yes,Sweeden,7.0,Git,35,7,Not Given,,0,"(-2000.0, 400000.0]",Very low
7/29/18 13:46,Master's degree (MA. MS. M.Eng.. MBA. etc.),0.0,Yes,Russia,10.0,Git;Team Foundation Version Control,41,6,Not Given,,0,"(-2000.0, 400000.0]",Very low
3/10/18 14:43,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),0.0,Yes,USA,7.0,Git,30,8,Male,,0,"(-2000.0, 400000.0]",Very low
1/25/18 22:31,Some college/university study without earning a degree,123984.0,Yes,Spain,7.0,Git,43,7,Male,123984.0,1,"(-2000.0, 400000.0]",High
10/15/18 14:09,Some college/university study without earning a degree,21228.0,No,Russia,7.0,I don't use version control,38,16,Female,21228.0,1,"(-2000.0, 400000.0]",Low
5/25/18 12:56,Bachelor's degree (BA. BS. B.Eng.. etc.),74000.0,Yes,Sweeden,6.0,Git;Copying and pasting files to network shares,35,11,Female,74000.0,1,"(-2000.0, 400000.0]",Medium
3/20/18 5:04,Bachelor's degree (BA. BS. B.Eng.. etc.),0.0,Yes,USA,7.0,Git,42,13,Male,,0,"(-2000.0, 400000.0]",Very low
6/10/18 21:11,Master's degree (MA. MS. M.Eng.. MBA. etc.),6576.0,Yes,France,7.0,Git,52,4,Male,6576.0,1,"(-2000.0, 400000.0]",Very low
3/3/18 4:50,Master's degree (MA. MS. M.Eng.. MBA. etc.),115000.0,Yes,USA,9.0,Git,60,12,Male,115000.0,1,"(-2000.0, 400000.0]",High
5/18/18 21:19,Bachelor's degree (BA. BS. B.Eng.. etc.),0.0,Yes,Spain,10.0,Git,71,6,Male,,0,"(-2000.0, 400000.0]",Very low
3/30/18 0:36,Associate degree,90000.0,Yes,UK,7.0,Git,34,7,Not Given,90000.0,1,"(-2000.0, 400000.0]",Medium
9/15/18 18:34,Bachelor's degree (BA. BS. B.Eng.. etc.),115000.0,Yes,France,6.0,Git,22,7,Male,115000.0,1,"(-2000.0, 400000.0]",High
3/1/18 0:29,Some college/university study without earning a degree,73428.0,No,USA,7.0,Git,43,0,Not Given,73428.0,1,"(-2000.0, 400000.0]",Medium
10/3/18 10:25,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),0.0,Yes,India,7.0,Git;Subversion,18,4,Male,,0,"(-2000.0, 400000.0]",Very low
4/9/18 13:54,Bachelor's degree (BA. BS. B.Eng.. etc.),13212.0,Yes,Other,5.0,Git,35,6,Female,13212.0,1,"(-2000.0, 400000.0]",Low
6/1/18 19:47,Master's degree (MA. MS. M.Eng.. MBA. etc.),0.0,Yes,Sweeden,7.0,Git,30,15,Male,,0,"(-2000.0, 400000.0]",Very low
1/14/18 8:48,Bachelor's degree (BA. BS. B.Eng.. etc.),0.0,Yes,Russia,7.0,Git;Copying and pasting files to network shares,21,12,Male,,0,"(-2000.0, 400000.0]",Very low
5/13/18 13:35,Bachelor's degree (BA. BS. B.Eng.. etc.),0.0,No,UK,7.0,Copying and pasting files to network shares,46,5,Male,,0,"(-2000.0, 400000.0]",Very low
2/8/18 7:22,Master's degree (MA. MS. M.Eng.. MBA. etc.),120000.0,Yes,South Africa,5.0,Git;Subversion;Zip file back-ups,21,4,Male,120000.0,1,"(-2000.0, 400000.0]",High
9/27/18 13:41,Bachelor's degree (BA. BS. B.Eng.. etc.),48955.0,Yes,UK,8.0,Git;Subversion,31,8,Male,48955.0,1,"(-2000.0, 400000.0]",Low
2/18/18 19:03,Bachelor's degree (BA. BS. B.Eng.. etc.),0.0,Yes,USA,7.0,Git;Copying and pasting files to network shares,52,1,Male,,0,"(-2000.0, 400000.0]",Very low
2/24/18 12:51,Bachelor's degree (BA. BS. B.Eng.. etc.),19500.0,Yes,UK,7.0,Git;Team Foundation Version Control,29,17,Male;Non-binary. genderqueer. or gender non-conforming,19500.0,1,"(-2000.0, 400000.0]",Low
8/26/18 4:07,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),0.0,Yes,USA,10.0,Git,22,14,Not Given,,0,"(-2000.0, 400000.0]",Very low
1/15/18 0:52,Master's degree (MA. MS. M.Eng.. MBA. etc.),85708.0,Yes,Spain,7.0,Git,60,4,Male,85708.0,1,"(-2000.0, 400000.0]",Medium
7/6/18 15:17,Bachelor's degree (BA. BS. B.Eng.. etc.),0.0,No,France,7.0,Copying and pasting files to network shares;Zip file back-ups,28,12,Not Given,,0,"(-2000.0, 400000.0]",Very low
2/3/18 15:37,Bachelor's degree (BA. BS. B.Eng.. etc.),36000.0,Yes,UK,7.0,Git;Subversion,47,7,Male,36000.0,1,"(-2000.0, 400000.0]",Low
9/14/18 18:33,Bachelor's degree (BA. BS. B.Eng.. etc.),0.0,Yes,Sweeden,7.0,Git;Subversion;Zip file back-ups,28,10,Not Given,,0,"(-2000.0, 400000.0]",Very low
7/24/18 8:20,Bachelor's degree (BA. BS. B.Eng.. etc.),0.0,Yes,France,7.0,Git,62,16,Male,,0,"(-2000.0, 400000.0]",Very low
4/9/18 17:04,Master's degree (MA. MS. M.Eng.. MBA. etc.),64116.0,No,Spain,10.0,Git;Subversion,18,7,Not Given,64116.0,1,"(-2000.0, 400000.0]",Medium
4/18/18 10:01,Bachelor's degree (BA. BS. B.Eng.. etc.),0.0,Yes,Russia,7.0,Git,48,3,Male,,0,"(-2000.0, 400000.0]",Very low
10/24/18 1:55,Bachelor's degree (BA. BS. B.Eng.. etc.),45144.0,Yes,Other,5.0,Git;Subversion;Team Foundation Version Control;Copying and pasting files to network shares;Zip file back-ups,19,6,Male,45144.0,1,"(-2000.0, 400000.0]",Low
2/19/18 0:12,Bachelor's degree (BA. BS. B.Eng.. etc.),32412.0,Yes,France,7.0,Git,18,14,Not Given,32412.0,1,"(-2000.0, 400000.0]",Low
1/23/18 6:05,Master's degree (MA. MS. M.Eng.. MBA. etc.),52627.0,Yes,UK,1.0,Git,18,6,Male,52627.0,1,"(-2000.0, 400000.0]",Medium
6/21/18 16:18,Master's degree (MA. MS. M.Eng.. MBA. etc.),82648.0,Yes,Spain,10.0,Git;Team Foundation Version Control,18,22,Male,82648.0,1,"(-2000.0, 400000.0]",Medium
7/9/18 17:43,Some college/university study without earning a degree,0.0,Yes,USA,7.0,Git;Team Foundation Version Control,18,11,Male,,0,"(-2000.0, 400000.0]",Very low
2/24/18 16:20,Bachelor's degree (BA. BS. B.Eng.. etc.),78000.0,Yes,India,7.0,Git,44,9,Male,78000.0,1,"(-2000.0, 400000.0]",Medium
7/11/18 16:18,Some college/university study without earning a degree,120000.0,Yes,India,7.0,Git,19,13,Male,120000.0,1,"(-2000.0, 400000.0]",High
6/27/18 19:40,Master's degree (MA. MS. M.Eng.. MBA. etc.),30000.0,No,USA,2.0,Git,32,5,Male,30000.0,1,"(-2000.0, 400000.0]",Low
6/12/18 23:47,Master's degree (MA. MS. M.Eng.. MBA. etc.),26436.0,Yes,USA,7.0,Git,53,11,Not Given,26436.0,1,"(-2000.0, 400000.0]",Low
2/22/18 6:03,Master's degree (MA. MS. M.Eng.. MBA. etc.),34440.0,Yes,France,10.0,Git,36,2,Not Given,34440.0,1,"(-2000.0, 400000.0]",Low
4/7/18 13:38,Bachelor's degree (BA. BS. B.Eng.. etc.),4128.0,Yes,South Africa,7.0,Git,27,10,Not Given,4128.0,1,"(-2000.0, 400000.0]",Very low
1/16/18 13:45,Bachelor's degree (BA. BS. B.Eng.. etc.),0.0,Yes,Russia,7.0,Subversion,46,18,Male,,0,"(-2000.0, 400000.0]",Very low
1/30/18 11:37,Primary/elementary school,0.0,Yes,Russia,7.0,Zip file back-ups,49,10,Male,,0,"(-2000.0, 400000.0]",Very low
3/17/18 17:02,Bachelor's degree (BA. BS. B.Eng.. etc.),141625.0,Yes,South Africa,7.0,Git,25,12,Not Given,141625.0,1,"(-2000.0, 400000.0]",High
5/23/18 9:18,Master's degree (MA. MS. M.Eng.. MBA. etc.),0.0,Yes,USA,7.0,Copying and pasting files to network shares,44,4,Male,,0,"(-2000.0, 400000.0]",Very low
8/11/18 13:43,Master's degree (MA. MS. M.Eng.. MBA. etc.),71095.0,Yes,Other,7.0,Git,30,0,Male,71095.0,1,"(-2000.0, 400000.0]",Medium
3/27/18 7:41,Master's degree (MA. MS. M.Eng.. MBA. etc.),0.0,Yes,South Africa,7.0,Git,45,12,Not Given,,0,"(-2000.0, 400000.0]",Very low
6/7/18 3:23,Some college/university study without earning a degree,35244.0,No,Spain,7.0,Git,44,5,Not Given,35244.0,1,"(-2000.0, 400000.0]",Low
4/20/18 16:09,Master's degree (MA. MS. M.Eng.. MBA. etc.),4696.0,No,South Africa,7.0,Zip file back-ups,34,7,Male,4696.0,1,"(-2000.0, 400000.0]",Very low
9/29/18 3:34,Bachelor's degree (BA. BS. B.Eng.. etc.),0.0,Yes,Sweeden,7.0,Git;Team Foundation Version Control,25,6,Not Given,,0,"(-2000.0, 400000.0]",Very low
4/10/18 18:58,Bachelor's degree (BA. BS. B.Eng.. etc.),120000.0,Yes,Russia,10.0,Git,52,3,Male,120000.0,1,"(-2000.0, 400000.0]",High
7/26/18 14:02,Bachelor's degree (BA. BS. B.Eng.. etc.),0.0,Yes,Russia,7.0,Copying and pasting files to network shares;Zip file back-ups,22,2,Male,,0,"(-2000.0, 400000.0]",Very low
9/24/18 14:14,Some college/university study without earning a degree,69452.0,Yes,UK,8.0,Git,46,11,Male,69452.0,1,"(-2000.0, 400000.0]",Medium
3/12/18 10:45,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),63896.0,Yes,Other,7.0,Git,24,11,Male,63896.0,1,"(-2000.0, 400000.0]",Medium
8/3/18 16:04,Master's degree (MA. MS. M.Eng.. MBA. etc.),0.0,Yes,France,0.0,Git;Mercurial,25,14,Male,,0,"(-2000.0, 400000.0]",Very low
3/15/18 20:00,Bachelor's degree (BA. BS. B.Eng.. etc.),63628.0,Yes,Other,8.0,Git,38,5,Male,63628.0,1,"(-2000.0, 400000.0]",Medium
9/27/18 5:22,Bachelor's degree (BA. BS. B.Eng.. etc.),110000.0,Yes,France,10.0,Git,50,1,Male,110000.0,1,"(-2000.0, 400000.0]",High
7/6/18 23:57,Master's degree (MA. MS. M.Eng.. MBA. etc.),0.0,No,South Africa,7.0,Team Foundation Version Control;Copying and pasting files to network shares,46,3,Not Given,,0,"(-2000.0, 400000.0]",Very low
2/19/18 2:40,Master's degree (MA. MS. M.Eng.. MBA. etc.),0.0,No,Russia,7.0,Git,51,18,Male,,0,"(-2000.0, 400000.0]",Very low
6/23/18 16:59,Bachelor's degree (BA. BS. B.Eng.. etc.),28680.0,Yes,Spain,7.0,Git,46,7,Not Given,28680.0,1,"(-2000.0, 400000.0]",Low
6/6/18 0:59,Master's degree (MA. MS. M.Eng.. MBA. etc.),9768.0,Yes,Sweeden,7.0,Git;Subversion,30,15,Not Given,9768.0,1,"(-2000.0, 400000.0]",Very low
1/15/18 3:37,Master's degree (MA. MS. M.Eng.. MBA. etc.),21418.0,Yes,Sweeden,7.0,Git,40,8,Not Given,21418.0,1,"(-2000.0, 400000.0]",Low
7/12/18 8:01,Some college/university study without earning a degree,916764.0,Yes,France,2.0,Git,51,8,Male,916764.0,1,"(800000.0, 1200000.0]",Very high
5/5/18 20:24,Bachelor's degree (BA. BS. B.Eng.. etc.),30597.0,Yes,South Africa,0.0,Git,19,3,Male,30597.0,1,"(-2000.0, 400000.0]",Low
2/14/18 15:10,Bachelor's degree (BA. BS. B.Eng.. etc.),59980.0,No,India,7.0,Git,29,13,Not Given,59980.0,1,"(-2000.0, 400000.0]",Medium
10/11/18 17:09,Bachelor's degree (BA. BS. B.Eng.. etc.),228888.0,No,Russia,10.0,Git,33,6,Male,228888.0,1,"(-2000.0, 400000.0]",Very high
2/23/18 0:33,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),0.0,Yes,France,7.0,Git,21,11,Not Given,,0,"(-2000.0, 400000.0]",Very low
4/29/18 12:10,Bachelor's degree (BA. BS. B.Eng.. etc.),0.0,Yes,Spain,7.0,Git,44,10,Male,,0,"(-2000.0, 400000.0]",Very low
2/12/18 23:20,Master's degree (MA. MS. M.Eng.. MBA. etc.),42348.0,Yes,USA,7.0,Git,41,8,Male,42348.0,1,"(-2000.0, 400000.0]",Low
9/22/18 15:17,Master's degree (MA. MS. M.Eng.. MBA. etc.),48955.0,Yes,India,7.0,Git;Subversion,20,11,Male,48955.0,1,"(-2000.0, 400000.0]",Low
6/20/18 23:19,Bachelor's degree (BA. BS. B.Eng.. etc.),37572.0,Yes,UK,7.0,Git,43,9,Not Given,37572.0,1,"(-2000.0, 400000.0]",Low
9/15/18 0:46,Some college/university study without earning a degree,34726.0,Yes,France,7.0,Git,35,1,Male,34726.0,1,"(-2000.0, 400000.0]",Low
9/24/18 19:09,Master's degree (MA. MS. M.Eng.. MBA. etc.),55392.0,Yes,USA,10.0,Git,25,18,Male,55392.0,1,"(-2000.0, 400000.0]",Medium
7/29/18 18:35,Bachelor's degree (BA. BS. B.Eng.. etc.),27708.0,Yes,Sweeden,9.0,Git;Subversion,44,10,Male,27708.0,1,"(-2000.0, 400000.0]",Low
7/12/18 11:55,Bachelor's degree (BA. BS. B.Eng.. etc.),70000.0,Yes,France,7.0,I don't use version control,36,12,Not Given,70000.0,1,"(-2000.0, 400000.0]",Medium
6/3/18 14:53,Master's degree (MA. MS. M.Eng.. MBA. etc.),59172.0,Yes,Spain,7.0,Git;Subversion,38,12,Male,59172.0,1,"(-2000.0, 400000.0]",Medium
9/29/18 13:45,Master's degree (MA. MS. M.Eng.. MBA. etc.),59980.0,Yes,South Africa,5.0,Git,36,9,Not Given,59980.0,1,"(-2000.0, 400000.0]",Medium
5/31/18 13:02,Bachelor's degree (BA. BS. B.Eng.. etc.),91969.0,Yes,Spain,7.0,Git;Mercurial,25,14,Male,91969.0,1,"(-2000.0, 400000.0]",Medium
3/6/18 1:22,Master's degree (MA. MS. M.Eng.. MBA. etc.),9984.0,Yes,USA,10.0,Git;Team Foundation Version Control,24,6,Male,9984.0,1,"(-2000.0, 400000.0]",Very low
1/10/18 0:46,Bachelor's degree (BA. BS. B.Eng.. etc.),55075.0,Yes,South Africa,7.0,Git,60,12,Not Given,55075.0,1,"(-2000.0, 400000.0]",Medium
8/14/18 11:59,Master's degree (MA. MS. M.Eng.. MBA. etc.),0.0,Yes,USA,3.0,Git,41,8,Not Given,,0,"(-2000.0, 400000.0]",Very low
3/13/18 13:14,Some college/university study without earning a degree,87971.0,Yes,Spain,7.0,Copying and pasting files to network shares,51,12,Not Given,87971.0,1,"(-2000.0, 400000.0]",Medium
2/1/18 0:50,Master's degree (MA. MS. M.Eng.. MBA. etc.),7512.0,Yes,UK,10.0,Git,48,14,Male,7512.0,1,"(-2000.0, 400000.0]",Very low
8/15/18 9:44,Bachelor's degree (BA. BS. B.Eng.. etc.),105000.0,No,Spain,8.0,Git,18,10,Male,105000.0,1,"(-2000.0, 400000.0]",High
6/17/18 10:34,Master's degree (MA. MS. M.Eng.. MBA. etc.),0.0,Yes,Spain,7.0,Team Foundation Version Control,41,13,Male,,0,"(-2000.0, 400000.0]",Very low
8/16/18 16:26,Bachelor's degree (BA. BS. B.Eng.. etc.),0.0,No,UK,7.0,Git,24,9,Male,,0,"(-2000.0, 400000.0]",Very low
8/10/18 17:53,Associate degree,105000.0,Yes,USA,7.0,Git,33,6,Male,105000.0,1,"(-2000.0, 400000.0]",High
9/11/18 15:40,Some college/university study without earning a degree,0.0,Yes,USA,7.0,Git,26,11,Not Given,,0,"(-2000.0, 400000.0]",Very low
9/16/18 3:24,Bachelor's degree (BA. BS. B.Eng.. etc.),0.0,Yes,Other,7.0,Subversion,32,7,Male,,0,"(-2000.0, 400000.0]",Very low
8/9/18 5:06,Bachelor's degree (BA. BS. B.Eng.. etc.),36000.0,Yes,Russia,8.0,Git;Team Foundation Version Control,21,12,Male,36000.0,1,"(-2000.0, 400000.0]",Low
2/15/18 4:19,Bachelor's degree (BA. BS. B.Eng.. etc.),120000.0,Yes,Spain,7.0,Git;Subversion,24,9,Male,120000.0,1,"(-2000.0, 400000.0]",High
4/19/18 1:36,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),61680.0,Yes,South Africa,8.0,Git,36,7,Not Given,61680.0,1,"(-2000.0, 400000.0]",Medium
7/26/18 20:14,Professional degree (JD. MD. etc.),42836.0,Yes,Other,5.0,Git,43,10,Male,42836.0,1,"(-2000.0, 400000.0]",Low
7/26/18 11:08,Some college/university study without earning a degree,29532.0,Yes,South Africa,5.0,Git,46,0,Not Given,29532.0,1,"(-2000.0, 400000.0]",Low
8/29/18 15:58,Master's degree (MA. MS. M.Eng.. MBA. etc.),64866.0,No,Sweeden,7.0,Team Foundation Version Control,60,9,Not Given,64866.0,1,"(-2000.0, 400000.0]",Medium
8/6/18 12:09,Associate degree,77000.0,Yes,South Africa,8.0,Git,58,6,Male,77000.0,1,"(-2000.0, 400000.0]",Medium
5/19/18 0:12,Master's degree (MA. MS. M.Eng.. MBA. etc.),36000.0,Yes,UK,7.0,Git;Subversion;Team Foundation Version Control,39,12,Male,36000.0,1,"(-2000.0, 400000.0]",Low
6/9/18 20:20,Master's degree (MA. MS. M.Eng.. MBA. etc.),0.0,Yes,Russia,7.0,Git,24,0,Male,,0,"(-2000.0, 400000.0]",Very low
9/14/18 5:46,Some college/university study without earning a degree,97000.0,Yes,France,4.0,Git;Team Foundation Version Control,39,13,Male,97000.0,1,"(-2000.0, 400000.0]",Medium
10/16/18 15:07,Some college/university study without earning a degree,0.0,No,India,7.0,Git;Subversion,32,7,Male,,0,"(-2000.0, 400000.0]",Very low
9/23/18 19:08,Bachelor's degree (BA. BS. B.Eng.. etc.),45838.0,Yes,USA,7.0,Git;Subversion;Team Foundation Version Control,31,10,Male,45838.0,1,"(-2000.0, 400000.0]",Low
3/18/18 4:28,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),59880.0,Yes,Spain,9.0,Git;Subversion,43,5,Male,59880.0,1,"(-2000.0, 400000.0]",Medium
10/12/18 0:50,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),48955.0,No,UK,7.0,Git,26,4,Not Given,48955.0,1,"(-2000.0, 400000.0]",Low
8/2/18 19:55,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),6732.0,Yes,India,7.0,Git,54,16,Male,6732.0,1,"(-2000.0, 400000.0]",Very low
5/31/18 4:41,Master's degree (MA. MS. M.Eng.. MBA. etc.),125000.0,Yes,UK,7.0,Git,32,13,Male,125000.0,1,"(-2000.0, 400000.0]",High
7/30/18 2:56,Bachelor's degree (BA. BS. B.Eng.. etc.),72469.0,Yes,Spain,10.0,Git;Mercurial;Subversion,40,10,Male,72469.0,1,"(-2000.0, 400000.0]",Medium
1/4/18 14:22,Master's degree (MA. MS. M.Eng.. MBA. etc.),0.0,Yes,India,7.0,Git;Subversion,29,7,Not Given,,0,"(-2000.0, 400000.0]",Very low
9/3/18 18:07,Bachelor's degree (BA. BS. B.Eng.. etc.),11808.0,Yes,Sweeden,7.0,Git,38,4,Not Given,11808.0,1,"(-2000.0, 400000.0]",Low
1/4/18 8:26,Some college/university study without earning a degree,0.0,Yes,UK,7.0,Git;Team Foundation Version Control,39,11,Male,,0,"(-2000.0, 400000.0]",Very low
3/21/18 20:41,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),39648.0,No,Sweeden,5.0,Git,34,11,Not Given,39648.0,1,"(-2000.0, 400000.0]",Low
3/28/18 7:29,Bachelor's degree (BA. BS. B.Eng.. etc.),0.0,Yes,Sweeden,7.0,Git,20,5,Not Given,,0,"(-2000.0, 400000.0]",Very low
5/25/18 14:20,Master's degree (MA. MS. M.Eng.. MBA. etc.),0.0,Yes,Spain,8.0,Subversion,18,5,Male,,0,"(-2000.0, 400000.0]",Very low
10/22/18 19:56,Bachelor's degree (BA. BS. B.Eng.. etc.),62507.0,Yes,Sweeden,5.0,Git,63,7,Male,62507.0,1,"(-2000.0, 400000.0]",Medium
1/3/18 23:54,Some college/university study without earning a degree,29373.0,Yes,Spain,7.0,Git,51,4,Male,29373.0,1,"(-2000.0, 400000.0]",Low
8/26/18 5:48,Bachelor's degree (BA. BS. B.Eng.. etc.),74482.0,No,South Africa,7.0,Subversion,45,9,Male,74482.0,1,"(-2000.0, 400000.0]",Medium
7/31/18 12:42,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),0.0,Yes,USA,7.0,Git,27,8,Male,,0,"(-2000.0, 400000.0]",Very low
4/10/18 17:11,Some college/university study without earning a degree,12960.0,Yes,UK,10.0,Git,34,14,Male,12960.0,1,"(-2000.0, 400000.0]",Low
7/24/18 23:12,Master's degree (MA. MS. M.Eng.. MBA. etc.),0.0,Yes,South Africa,10.0,Git;Mercurial;Subversion,29,9,Male,,0,"(-2000.0, 400000.0]",Very low
8/6/18 20:05,Bachelor's degree (BA. BS. B.Eng.. etc.),73433.0,Yes,South Africa,10.0,Git,32,12,Male,73433.0,1,"(-2000.0, 400000.0]",Medium
7/7/18 15:17,Bachelor's degree (BA. BS. B.Eng.. etc.),1080000.0,Yes,India,8.0,Git,24,12,Male,1080000.0,1,"(800000.0, 1200000.0]",Very high
7/17/18 9:42,Bachelor's degree (BA. BS. B.Eng.. etc.),90288.0,Yes,India,1.0,Git,18,2,Not Given,90288.0,1,"(-2000.0, 400000.0]",Medium
3/16/18 20:51,Bachelor's degree (BA. BS. B.Eng.. etc.),122388.0,Yes,Russia,8.0,Git,34,15,Male,122388.0,1,"(-2000.0, 400000.0]",High
8/23/18 13:55,Some college/university study without earning a degree,37084.0,Yes,Sweeden,10.0,Subversion,44,10,Male,37084.0,1,"(-2000.0, 400000.0]",Low
2/14/18 13:19,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),11748.0,Yes,USA,7.0,Git;Subversion,40,8,Not Given,11748.0,1,"(-2000.0, 400000.0]",Low
2/10/18 3:20,Associate degree,100000.0,No,India,7.0,I don't use version control,28,8,Not Given,100000.0,1,"(-2000.0, 400000.0]",Medium
6/18/18 13:34,Secondary school (e.g. American high school. German Realschule or Gymnasium. etc.),0.0,Yes,Spain,7.0,Git;Subversion,35,16,Male,,0,"(-2000.0, 400000.0]",Very low
1/17/18 4:57,Master's degree (MA. MS. M.Eng.. MBA. etc.),60000.0,Yes,Sweeden,10.0,Git,25,5,Male,60000.0,1,"(-2000.0, 400000.0]",Medium
