Branch,Component,Gender,abdominalextensiondepthsitting,acromialheight,acromionradialelength,anklecircumference,axillaheight,balloffootcircumference,balloffootlength,biacromialbreadth,bicepscircumferenceflexed,bicristalbreadth,bideltoidbreadth,bimalleolarbreadth,bitragionchinarc,bitragionsubmandibulararc,bizygomaticbreadth,buttockcircumference,buttockdepth,buttockheight,buttockkneelength,buttockpopliteallength,calfcircumference,cervicaleheight,chestbreadth,chestcircumference,chestdepth,chestheight,crotchheight,crotchlengthomphalion,crotchlengthposterioromphalion,earbreadth,earlength,earprotrusion,elbowrestheight,eyeheightsitting,footbreadthhorizontal,footlength,forearmcenterofgriplength,forearmcircumferenceflexed,forearmforearmbreadth,forearmhandlength,functionalleglength,handbreadth,handcircumference,handlength,headbreadth,headcircumference,headlength,heelanklecircumference,heelbreadth,hipbreadth,hipbreadthsitting,iliocristaleheight,interpupillarybreadth,interscyei,interscyeii,kneeheightmidpatella,kneeheightsitting,lateralfemoralepicondyleheight,lateralmalleolusheight,lowerthighcircumference,mentonsellionlength,neckcircumference,neckcircumferencebase,overheadfingertipreachsitting,palmlength,poplitealheight,radialestylionlength,shouldercircumference,shoulderelbowlength,shoulderlength,sittingheight,sleevelengthspinewrist,sleeveoutseam,span,suprasternaleheight,tenthribheight,thighcircumference,thighclearance,thumbtipreach,tibialheight,tragiontopofhead,trochanterionheight,verticaltrunkcircumferenceusa,waistbacklength,waistbreadth,waistcircumference,waistdepth,waistfrontlengthsitting,waistheightomphalion,wristcircumference,wristheight,weight_kg,stature_m,BMI,BMI_class,Height_class
10,Combat Service Support,Regular Army,Male,272,1450,339,218,1353,244,189,412,351,278,523,68,357,337,150,1027,261,879,578,468,377,1527,293,1117,270,1311,839,659,352,37,74,21,300,845,101,265,350,304,589,488,1093,89,212,200,155,578,200,330,71,352,374,1055,685,510,483,502,556,493,79,391,137,445,473,1487,117,435,263,1203,362,144,969,915,580,1840,1464,1108,624,183,844,487,142,918,1775,512,334,994,254,454,1033,174,863,88.2,1.78,27.837394268400455,Overweight,Tall
11,Combat Service Support,Regular Army,Male,227,1416,339,205,1319,236,184,408,327,273,464,68,305,300,133,928,235,937,618,507,343,1509,268,961,234,1272,872,602,350,33,60,21,212,764,97,256,347,281,492,484,1136,88,203,194,148,548,189,337,67,317,345,1080,605,464,505,509,558,499,76,390,118,374,421,1427,118,430,270,1126,363,160,871,860,600,1823,1423,1117,567,171,785,488,126,977,1594,495,302,866,212,335,1067,171,817,70.1,1.733,23.341077065843475,Normal,Normal
12,Combat Support,Regular Army,Male,268,1504,373,244,1390,271,214,453,397,291,564,73,348,311,149,1082,268,989,682,553,460,1597,296,1151,282,1367,923,663,372,34,68,21,200,804,111,291,371,342,650,505,1217,94,225,210,154,580,199,372,75,351,391,1138,665,447,473,529,586,516,77,436,120,436,468,1543,127,448,283,1275,398,161,906,952,650,1995,1525,1200,689,205,925,508,118,1005,1751,491,339,986,260,407,1128,183,867,103.7,1.814,31.514047911077505,Overweight,Tall
13,Combat Service Support,Regular Army,Male,288,1539,365,241,1411,251,205,466,420,307,588,72,363,337,154,1112,284,976,664,538,434,1623,314,1231,301,1374,913,687,425,39,74,26,262,848,100,274,373,350,658,507,1219,91,219,194,165,606,208,350,66,376,423,1138,675,460,485,532,591,519,78,441,118,468,496,1558,118,453,289,1354,393,173,966,940,644,1956,1531,1188,704,197,859,519,134,977,1803,505,372,1045,267,424,1130,184,904,111.6,1.861,32.22340637786679,Overweight,Tall
14,Combat Arms,Regular Army,Male,261,1379,327,243,1278,254,195,414,363,278,504,70,311,305,141,1136,275,856,619,489,421,1476,263,1060,254,1254,804,683,377,36,64,23,240,801,102,266,329,322,579,447,1144,90,212,184,160,565,186,343,73,390,418,1033,610,399,442,469,526,463,75,439,112,399,439,1406,108,389,246,1149,350,156,918,875,572,1726,1403,1083,695,200,793,457,128,897,1655,480,359,1007,243,395,1012,183,795,89.6,1.709,30.677776860944412,Overweight,Normal
15,Combat Service Support,Regular Army,Male,308,1460,361,237,1335,262,210,413,387,265,537,77,357,327,148,1009,267,946,621,499,433,1511,291,1092,255,1306,885,633,342,32,58,19,238,763,106,278,376,338,633,506,1183,88,220,203,152,567,199,354,68,322,356,1070,665,470,475,515,575,504,74,400,127,435,465,1461,131,457,274,1224,382,140,864,955,619,1883,1435,1115,640,200,868,501,133,957,1770,477,328,1033,297,360,1048,187,844,92.4,1.74,30.519223147047168,Overweight,Normal
16,Combat Arms,Regular Army,Male,245,1384,329,231,1272,261,198,398,341,274,501,74,330,313,143,985,234,852,585,467,400,1461,275,1085,250,1265,810,618,359,34,67,24,246,785,101,270,334,296,581,459,1128,85,205,188,160,575,195,342,67,343,367,1017,660,438,440,476,535,470,73,393,116,402,436,1397,110,409,257,1145,358,137,899,879,571,1739,1381,1063,604,183,745,467,133,904,1642,452,322,908,231,357,1020,176,819,77.9,1.694,27.14630008823419,Overweight,Normal
17,Combat Service Support,Regular Army,Male,310,1455,346,233,1345,258,195,385,377,277,504,73,334,332,147,1051,273,910,622,498,447,1522,276,1118,281,1331,860,628,356,32,70,23,264,813,105,270,350,337,636,482,1140,90,217,203,153,554,188,350,71,342,383,1048,660,388,404,486,550,494,77,421,114,411,428,1484,119,420,273,1152,372,141,929,888,595,1828,1452,1098,674,200,790,481,130,934,1730,488,344,1028,268,432,1030,180,857,96.9,1.766,31.070080506458346,Overweight,Tall
18,Combat Arms,Regular Army,Male,225,1427,331,205,1319,236,190,394,335,266,490,70,315,295,139,974,250,904,617,497,358,1518,274,999,229,1293,876,708,384,36,67,20,259,797,95,266,340,297,568,458,1132,85,199,179,150,567,196,325,66,331,373,1077,650,434,456,507,556,494,78,385,121,385,426,1410,110,429,260,1140,359,134,915,856,576,1749,1432,1118,613,185,818,485,126,942,1650,451,307,874,208,372,1091,170,844,76.0,1.748,24.873146950552183,Normal,Normal
19,Combat Arms,Regular Army,Male,270,1468,349,238,1351,262,203,399,335,283,511,76,345,331,138,1035,271,898,608,485,395,1533,303,1127,255,1322,861,663,387,37,68,22,279,848,104,277,354,298,588,489,1143,92,221,198,150,582,204,345,67,352,385,1060,640,434,430,485,542,490,70,408,112,392,413,1546,120,417,267,1146,375,146,969,910,611,1850,1479,1121,632,188,784,475,135,943,1776,479,344,999,259,460,1054,175,849,90.8,1.794,28.21246095929824,Overweight,Tall
20,Combat Arms,Regular Army,Male,209,1450,340,228,1342,258,198,420,304,284,489,79,318,313,139,929,214,895,599,490,355,1520,296,1000,223,1276,863,638,386,36,61,23,254,832,106,275,353,288,517,488,1146,88,210,195,150,588,202,347,65,320,346,1056,680,417,442,495,552,492,70,367,121,377,414,1447,117,434,273,1125,379,159,949,918,600,1846,1437,1097,553,166,812,481,132,918,1631,459,305,837,199,365,1076,187,840,71.4,1.78,22.5350334553718,Normal,Tall
